,id,x,y,b,p,sec,milli
0,127,2494,1982,3,0,0,227
1,128,2494,1982,3,0,0,232
2,129,2494,1982,3,0,0,239
3,130,2494,1982,3,0,0,247
4,131,2494,1982,3,0,0,253
5,132,2494,1982,3,0,0,260
6,133,2494,1982,3,0,0,266
7,134,2494,1982,3,0,0,273
8,135,2494,1982,3,0,0,280
9,136,2494,1982,3,0,0,286
10,137,2494,1982,3,0,0,294
11,138,2494,1982,3,0,0,300
12,139,2494,1982,3,0,0,306
13,140,2494,1982,3,0,0,313
14,141,2494,1982,3,0,0,319
15,142,2469,1959,3,0,0,326
16,143,2469,1959,3,0,0,333
17,144,2446,1937,3,0,0,339
18,145,2446,1937,3,0,0,346
19,146,2446,1937,3,0,0,352
20,147,2446,1937,3,0,0,359
21,148,2446,1937,3,0,0,366
22,149,2423,1915,3,0,0,372
23,150,2423,1915,3,0,0,379
24,151,2423,1915,3,0,0,386
25,152,2423,1915,3,0,0,392
26,153,2410,1884,3,0,0,399
27,154,2410,1884,3,0,0,405
28,155,2400,1854,3,0,0,412
29,156,2393,1820,3,0,0,419
30,157,2393,1820,3,0,0,424
31,158,2393,1820,3,0,0,433
32,159,2393,1820,3,0,0,438
33,160,2393,1820,3,0,0,445
34,161,2393,1820,3,0,0,452
35,162,2393,1820,3,0,0,458
36,163,2393,1820,3,0,0,466
37,164,2393,1820,3,0,0,472
38,165,2393,1820,3,0,0,478
39,166,2393,1820,3,0,0,485
40,167,2393,1820,3,0,0,491
41,168,2393,1820,3,0,0,498
42,169,2393,1820,3,0,0,505
43,170,2393,1820,3,0,0,511
44,171,2393,1820,3,0,0,518
45,172,2393,1820,3,0,0,525
46,173,2393,1820,3,0,0,531
47,174,2393,1820,3,0,0,539
48,175,2393,1820,3,0,0,544
49,176,2386,1843,3,0,0,551
50,177,2380,1866,3,0,0,557
51,178,2375,1886,3,0,0,565
52,179,2371,1899,3,0,0,571
53,180,2369,1912,3,0,0,578
54,181,2369,1912,3,0,0,584
55,182,2369,1912,3,0,0,592
56,183,2369,1912,3,0,0,598
57,184,2369,1912,3,0,0,606
58,185,2369,1912,3,0,0,611
59,186,2369,1912,3,0,0,617
60,187,2369,1912,3,0,0,626
61,188,2369,1912,3,0,0,631
62,189,2369,1912,3,0,0,638
63,190,2369,1912,3,0,0,644
64,191,2369,1912,3,0,0,651
65,192,2363,1896,3,0,0,658
66,193,2360,1881,3,0,0,664
67,194,2358,1867,3,0,0,672
68,195,2360,1853,3,0,0,677
69,196,2363,1839,3,0,0,684
70,197,2368,1827,3,0,0,691
71,198,2376,1815,3,0,0,697
72,199,2384,1804,3,0,0,704
73,200,2393,1795,3,0,0,711
74,201,2402,1784,7,11,0,731
75,202,2410,1776,7,10,0,742
76,203,2416,1771,7,10,0,749
77,204,2422,1766,7,10,0,758
78,205,2430,1762,7,10,0,762
79,206,2430,1762,7,10,0,766
80,207,2438,1761,7,10,0,774
81,208,2446,1761,7,10,0,779
82,209,2453,1764,7,11,0,785
83,210,2461,1769,7,11,0,792
84,211,2467,1776,7,12,0,800
85,212,2472,1785,7,13,0,807
86,213,2477,1795,7,14,0,812
87,214,2480,1807,7,15,0,819
88,215,2480,1822,7,15,0,826
89,216,2478,1840,7,15,0,831
90,217,2474,1860,7,14,0,841
91,218,2468,1883,7,14,0,845
92,219,2460,1908,7,13,0,851
93,220,2450,1936,7,12,0,859
94,221,2440,1964,7,11,0,864
95,222,2429,1992,7,11,0,872
96,223,2417,2021,7,11,0,896
97,224,2404,2050,7,11,0,905
98,225,2391,2079,7,10,0,915
99,226,2375,2110,7,10,0,928
100,227,2358,2141,7,10,0,936
101,228,2339,2173,7,10,0,944
102,229,2318,2205,7,10,0,950
103,230,2293,2237,7,10,0,969
104,231,2267,2269,7,10,0,999
105,232,2239,2299,7,10,1,9
106,233,2209,2330,7,10,1,14
107,234,2178,2358,7,10,1,18
108,235,2145,2385,7,10,1,23
109,236,2111,2410,7,10,1,28
110,237,2077,2432,7,10,1,33
111,238,2046,2454,7,10,1,41
112,239,2016,2474,7,10,1,46
113,240,1988,2491,7,10,1,52
114,241,1963,2506,7,10,1,89
115,242,1941,2519,7,11,1,93
116,243,1922,2529,7,11,1,98
117,244,1906,2537,7,11,1,158
118,245,1893,2543,7,11,1,162
119,246,1883,2548,7,11,1,167
120,247,1874,2552,7,11,1,173
121,248,1867,2555,7,11,1,178
122,249,1867,2555,7,11,1,182
123,250,1867,2555,7,10,1,187
124,251,1867,2555,7,10,1,195
125,252,1867,2555,7,10,1,201
126,253,1867,2555,7,10,1,207
127,254,1867,2555,7,10,1,211
128,255,1872,2562,7,10,1,216
129,0,1879,2568,7,10,1,222
130,1,1887,2575,7,10,1,226
131,2,1895,2581,7,10,1,232
132,3,1905,2589,7,10,1,237
133,4,1915,2598,7,10,1,249
134,5,1927,2610,7,10,1,253
135,6,1940,2622,7,11,1,259
136,7,1954,2636,7,11,1,264
137,8,1970,2654,7,11,1,268
138,9,1986,2673,7,11,1,273
139,10,2003,2694,7,11,1,278
140,11,2021,2717,7,10,1,283
141,12,2040,2742,7,11,1,288
142,13,2059,2767,7,11,1,293
143,14,2080,2794,7,11,1,298
144,15,2101,2822,7,11,1,303
145,16,2122,2851,7,11,1,310
146,17,2145,2881,7,11,1,314
147,18,2168,2914,7,11,1,323
148,19,2193,2949,7,11,1,329
149,20,2217,2985,7,11,1,334
150,21,2241,3020,7,11,1,341
151,22,2264,3057,7,11,1,346
152,23,2288,3097,7,12,1,351
153,24,2312,3136,7,13,1,357
154,25,2335,3176,7,13,1,362
155,26,2358,3216,7,13,1,368
156,27,2381,3254,7,13,1,374
157,28,2404,3294,7,13,1,379
158,29,2428,3335,7,13,1,386
159,30,2452,3371,7,13,1,394
160,31,2476,3408,7,13,1,400
161,32,2499,3445,7,13,1,406
162,33,2523,3481,7,13,1,411
163,34,2545,3517,7,13,1,416
164,35,2566,3552,7,13,1,421
165,36,2587,3585,7,13,1,426
166,37,2608,3616,7,13,1,431
167,38,2628,3646,7,13,1,443
168,39,2646,3674,7,13,1,466
169,40,2662,3701,7,13,1,480
170,41,2677,3725,7,13,1,490
171,42,2690,3746,7,13,1,498
172,43,2703,3764,7,14,1,526
173,44,2714,3780,7,15,1,532
174,45,2722,3793,7,15,1,540
175,46,2728,3804,7,15,1,545
176,47,2732,3812,7,15,1,550
177,48,2735,3819,7,15,1,555
178,49,2735,3819,7,15,1,564
179,50,2735,3819,7,14,1,570
180,51,2735,3819,7,14,1,576
181,52,2733,3811,7,13,1,581
182,53,2731,3799,7,13,1,586
183,54,2729,3781,7,13,1,591
184,55,2727,3757,7,14,1,597
185,56,2724,3730,7,13,1,602
186,57,2719,3701,7,9,1,607
187,58,2712,3669,7,5,1,612
188,59,2705,3636,3,0,1,624
189,60,2695,3601,3,0,1,635
190,61,2684,3563,3,0,1,640
191,62,2672,3526,3,0,1,645
192,63,2659,3488,3,0,1,650
193,64,2646,3449,3,0,1,655
194,65,2631,3409,3,0,1,659
195,66,2615,3366,3,0,1,664
196,67,2599,3321,3,0,1,669
197,68,2584,3273,3,0,1,674
198,69,2570,3223,3,0,1,679
199,70,2556,3173,3,0,1,697
200,71,2543,3121,3,0,1,749
201,72,2533,3070,3,0,1,753
202,73,2524,3018,3,0,1,758
203,74,2515,2952,7,16,1,763
204,75,2507,2897,7,16,1,821
205,77,2495,2813,7,16,1,827
206,78,2492,2780,7,16,1,832
207,79,2491,2753,7,17,1,838
208,80,2491,2731,7,17,1,842
209,81,2492,2712,7,17,1,847
210,82,2494,2697,7,17,1,855
211,83,2498,2686,7,17,1,860
212,84,2503,2678,7,17,1,865
213,85,2503,2678,7,17,1,870
214,86,2510,2676,7,17,1,875
215,87,2510,2676,7,17,1,880
216,88,2516,2681,7,16,1,885
217,89,2520,2692,7,15,1,891
218,90,2522,2704,7,14,1,896
219,91,2521,2721,7,14,1,906
220,92,2518,2742,7,14,1,914
221,93,2510,2766,7,15,1,919
222,94,2497,2793,7,14,1,926
223,95,2482,2824,7,14,1,933
224,96,2462,2859,7,13,1,938
225,97,2441,2894,7,12,1,943
226,98,2416,2931,7,12,1,948
227,99,2388,2969,7,12,1,954
228,100,2357,3009,7,12,1,960
229,101,2325,3049,7,12,1,975
230,102,2290,3091,7,12,1,979
231,103,2253,3134,7,12,1,984
232,104,2216,3175,7,12,1,991
233,105,2178,3215,7,12,1,996
234,106,2139,3252,7,12,2,1
235,107,2101,3286,7,12,2,7
236,108,2063,3318,7,12,2,13
237,109,2025,3349,7,12,2,17
238,110,1986,3377,7,12,2,23
239,111,1947,3400,7,12,2,29
240,112,1906,3420,7,12,2,33
241,113,1865,3437,7,12,2,43
242,114,1823,3451,7,12,2,49
243,115,1781,3464,7,12,2,53
244,116,1737,3474,7,12,2,60
245,117,1692,3483,7,11,2,88
246,118,1648,3489,7,10,2,93
247,119,1606,3493,7,10,2,97
248,120,1567,3496,7,10,2,104
249,121,1531,3495,7,9,2,110
250,122,1498,3494,7,8,2,115
251,123,1468,3491,7,8,2,119
252,124,1439,3487,7,9,2,124
253,125,1411,3482,7,9,2,128
254,126,1384,3477,7,9,2,132
255,127,1358,3471,7,9,2,136
256,128,1332,3465,7,9,2,142
257,129,1304,3459,7,9,2,147
258,130,1279,3455,7,9,2,153
259,131,1255,3449,7,9,2,159
260,132,1232,3445,7,10,2,163
261,133,1211,3439,7,11,2,171
262,134,1192,3434,7,12,2,177
263,135,1177,3431,7,13,2,183
264,136,1165,3425,7,13,2,188
265,137,1154,3419,7,13,2,194
266,138,1149,3411,7,13,2,199
267,139,1147,3401,7,13,2,203
268,140,1149,3389,7,13,2,208
269,141,1157,3376,7,13,2,213
270,142,1171,3360,7,13,2,217
271,143,1190,3342,7,13,2,221
272,144,1215,3323,7,13,2,227
273,145,1245,3301,7,13,2,234
274,146,1277,3278,7,13,2,238
275,147,1314,3253,7,13,2,244
276,148,1356,3227,7,13,2,250
277,149,1404,3200,7,13,2,256
278,150,1456,3172,7,13,2,261
279,151,1513,3142,7,13,2,266
280,152,1575,3112,7,13,2,271
281,153,1638,3079,7,13,2,279
282,154,1705,3046,7,13,2,283
283,155,1773,3012,7,14,2,287
284,156,1845,2979,7,15,2,294
285,157,1917,2947,7,14,2,298
286,158,1991,2914,7,14,2,302
287,159,2066,2882,7,14,2,307
288,160,2139,2851,7,14,2,312
289,161,2213,2820,7,14,2,316
290,162,2284,2790,7,14,2,321
291,163,2354,2761,7,14,2,326
292,164,2422,2733,7,14,2,330
293,165,2488,2706,7,14,2,334
294,166,2557,2680,7,14,2,339
295,167,2620,2656,7,14,2,344
296,168,2678,2634,7,14,2,348
297,169,2732,2615,7,14,2,353
298,170,2779,2598,7,14,2,359
299,171,2820,2585,7,14,2,364
300,172,2853,2576,7,14,2,368
301,173,2880,2569,7,14,2,373
302,174,2901,2565,7,14,2,377
303,175,2915,2563,7,14,2,381
304,176,2925,2563,7,10,2,386
305,177,2932,2558,7,6,2,391
306,178,2937,2550,3,0,2,396
307,179,2941,2538,3,0,2,401
308,180,2943,2521,3,0,2,405
309,181,2947,2504,3,0,2,410
310,182,2955,2484,3,0,2,415
311,183,2962,2463,3,0,2,420
312,184,2970,2441,3,0,2,424
313,185,2978,2420,3,0,2,428
314,186,2987,2398,3,0,2,433
315,187,3000,2376,3,0,2,437
316,188,3012,2351,3,0,2,441
317,189,3028,2331,3,0,2,445
318,190,3044,2317,3,0,2,449
319,191,3061,2298,3,0,2,454
320,192,3079,2286,3,0,2,459
321,193,3098,2270,3,0,2,463
322,194,3114,2253,3,0,2,469
323,195,3131,2235,3,0,2,474
324,196,3150,2224,3,0,2,479
325,197,3165,2212,3,0,2,483
326,198,3165,2212,3,0,2,487
327,199,3181,2202,3,0,2,492
328,200,3181,2202,3,0,2,496
329,201,3181,2202,3,0,2,501
